event:event0_prepare_for_brushing_teeth1_scene3,time:12.834,action:walk,object:bedroom358_scene3
event:event1_prepare_for_brushing_teeth1_scene3,time:21.252,action:walk,object:bathroom297_scene3
event:event2_prepare_for_brushing_teeth1_scene3,time:26.772,action:walk,object:toothbrush352_scene3,place:bathroom297_scene3
event:event3_prepare_for_brushing_teeth1_scene3,time:29.877,action:grab,object:toothbrush352_scene3,place:bathroom297_scene3
event:event4_prepare_for_brushing_teeth1_scene3,time:31.395,action:walk,object:toothpaste349_scene3,place:bathroom297_scene3
event:event5_prepare_for_brushing_teeth1_scene3,time:34.5,action:grab,object:toothpaste349_scene3,place:bathroom297_scene3
event:event6_prepare_for_brushing_teeth1_scene3,time:55.751999999999995,action:squeeze,object:toothpaste349_scene3,place:bathroom297_scene3
event:event7_prepare_for_brushing_teeth1_scene3,time:63.410999999999994,action:put,object:toothpaste349_scene3,place:bathroom297_scene3
event:event8_prepare_for_brushing_teeth1_scene3,time:66.86099999999999,action:walk,object:faucet339_scene3,place:bathroom297_scene3
event:event9_prepare_for_brushing_teeth1_scene3,time:70.24199999999999,action:switchOn,object:faucet339_scene3,place:bathroom297_scene3
event:event10_prepare_for_brushing_teeth1_scene3,time:84.594,action:soak,object:toothbrush352_scene3,place:bathroom297_scene3
event:event11_prepare_for_brushing_teeth1_scene3,time:87.975,action:switchOff,object:faucet339_scene3,place:bathroom297_scene3
