event:event0_prepare_for_brushing_teeth1_scene5,time:7.521,action:walk,object:livingroom11_scene5
event:event1_prepare_for_brushing_teeth1_scene5,time:14.972999999999999,action:walk,object:bathroom295_scene5
event:event2_prepare_for_brushing_teeth1_scene5,time:18.215999999999998,action:walk,object:toothbrush371_scene5,place:bathroom295_scene5
event:event3_prepare_for_brushing_teeth1_scene5,time:21.320999999999998,action:grab,object:toothbrush371_scene5,place:bathroom295_scene5
event:event4_prepare_for_brushing_teeth1_scene5,time:22.631999999999998,action:walk,object:toothpaste377_scene5,place:bathroom295_scene5
event:event5_prepare_for_brushing_teeth1_scene5,time:25.737,action:grab,object:toothpaste377_scene5,place:bathroom295_scene5
event:event6_prepare_for_brushing_teeth1_scene5,time:47.126999999999995,action:squeeze,object:toothpaste377_scene5,place:bathroom295_scene5
event:event7_prepare_for_brushing_teeth1_scene5,time:53.336999999999996,action:put,object:toothpaste377_scene5,place:bathroom295_scene5
event:event8_prepare_for_brushing_teeth1_scene5,time:55.68299999999999,action:walk,object:faucet319_scene5,place:bathroom295_scene5
event:event9_prepare_for_brushing_teeth1_scene5,time:59.06399999999999,action:switchOn,object:faucet319_scene5,place:bathroom295_scene5
event:event10_prepare_for_brushing_teeth1_scene5,time:73.89899999999999,action:soak,object:toothbrush371_scene5,place:bathroom295_scene5
event:event11_prepare_for_brushing_teeth1_scene5,time:77.27999999999999,action:switchOff,object:faucet319_scene5,place:bathroom295_scene5
